district;neighborhood;condition;type;rooms;area_m2;floor;prices;lift;views
Horta-Guinardó;el Guinardó;good condition;Flat;3;46; floor 2;195000;No;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;4;176; floor 4;740000;Yes;exterior
Sant Martí;el Clot;good condition;Duplex;3;135;ground floor;575000;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;good condition;Flat;3;72; floor 6;369000;Yes;interior
Gràcia;la Vila de Gràcia;good condition;Flat;3;70; floor 2;400000;No;exterior
Ciutat Vella;el Barri Gòtic;good condition;Duplex;4;221; floor 6;1690000;Yes;exterior
Sant Martí;el Camp de l'Arpa del Clot;good condition;Terraced;3;72;Multiple;295000;No;exterior
Sants-Montjuïc;el Poble Sec - AEI Parc de Montjuïc;good condition;Flat;4;114; floor 5;410000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;5;251; floor 2;1630000;Yes;exterior
Eixample;la Sagrada Família;good condition;Duplex;3;121;ground floor;595000;Yes;exterior
Ciutat Vella;el Raval;good condition;Flat;2;55; floor 3;160000;No;exterior
Ciutat Vella;el Barri Gòtic;good condition;Flat;4;133; floor 5;495000;Yes;exterior
Sant Martí;el Poblenou;good condition;Flat;2;75; floor 1;398000;Yes;exterior
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;good condition;Flat;1;90; floor 1;800000;Yes;exterior
Sant Martí;el Besòs i el Maresme;good condition;Flat;2;66; floor 4;169000;Yes;exterior
Sant Martí;Provençals del Poblenou;good condition;Duplex;3;105;ground floor;695000;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;good condition;Flat;4;96; floor 2;350000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Penthouse;4;290; floor 8;1690000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;good condition;Flat;5;264;ground floor;3500000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;good condition;Flat;3;82; floor 2;550000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;5;183; floor 4;699000;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;good condition;Flat;3;91; floor 1;375000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;1;85; floor 2;329000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;2;198;mezzanine;1280000;Yes;exterior
Ciutat Vella;la Barceloneta;good condition;Flat;3;83; floor 2;395000;No;exterior
Les Corts;Pedralbes;good condition;Flat;5;314; floor 1;2400000;Yes;exterior
Sant Martí;el Poblenou;good condition;Flat;3;115; floor 25;1090000;Yes;exterior
Les Corts;Pedralbes;good condition;Flat;4;218; floor 2;2250000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;good condition;Flat;3;130; floor 1;1290000;Yes;exterior
Sants-Montjuïc;Hostafrancs;good condition;Flat;4;80; floor 1;280000;Yes;exterior
Les Corts;Pedralbes;good condition;House;6;686;Multiple;4600000;No;exterior
Ciutat Vella;el Barri Gòtic;good condition;Flat;2;118;mezzanine;495000;Yes;exterior
Gràcia;el Camp d'en Grassot i Gràcia Nova;good condition;House;3;582;Multiple;1690000;No;exterior
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;good condition;House;5;374;Multiple;1950000;No;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;5;281; floor 2;1500000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;4;160; floor 4;875000;Yes;exterior
Ciutat Vella;la Barceloneta;good condition;Flat;2;35; floor 3;190000;No;exterior
Gràcia;la Vila de Gràcia;good condition;Penthouse;2;49; floor 7;245000;Yes;exterior
Eixample;la Sagrada Família;good condition;Flat;4;84; floor 2;299000;Yes;exterior
Sarrià-Sant Gervasi;Vallvidrera - el Tibidabo i les Planes;good condition;House;5;412;Multiple;2100000;No;exterior
Nou Barris;Porta;good condition;Flat;2;55; floor 2;170000;No;exterior
Horta-Guinardó;el Baix Guinardó;good condition;Flat;1;40; floor 4;198000;Yes;exterior
Sant Martí;Diagonal Mar i el Front Marítim del Poblenou;good condition;House;3;175;Multiple;1130000;No;exterior
Sant Martí;el Poblenou;good condition;Flat;2;73; floor 2;375000;Yes;exterior
Sarrià-Sant Gervasi;les Tres Torres;good condition;Penthouse;7;500; floor 6;2950000;Yes;exterior
Sarrià-Sant Gervasi;les Tres Torres;good condition;Flat;6;355; floor 2;2300000;Yes;exterior
Sarrià-Sant Gervasi;les Tres Torres;good condition;Flat;5;257; floor 1;1650000;Yes;exterior
Sants-Montjuïc;Sants;good condition;House;4;334;Multiple;797000;No;exterior
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;good condition;Flat;4;111; floor 1;495000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;3;147; floor 1;1850000;Yes;exterior
Eixample;la Sagrada Família;good condition;Penthouse;3;180; floor 7;765000;Yes;exterior
Sarrià-Sant Gervasi;Sarrià;good condition;House;9;545;Multiple;3900000;No;exterior
Eixample;Sant Antoni;good condition;Flat;3;112; floor 3;499000;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;good condition;Penthouse;3;123; floor 9;1190000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;2;80; floor 3;650000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;4;77; floor 2;340000;Yes;exterior
Sants-Montjuïc;Sants;good condition;Flat;3;150;ground floor;239000;Yes;interior
Sant Martí;el Besòs i el Maresme;good condition;Flat;3;71; floor 7;179000;Yes;exterior
Sant Andreu;la Sagrera;good condition;Flat;3;104; floor 2;588000;Yes;exterior
Sant Andreu;la Sagrera;good condition;Flat;2;56;ground floor;242000;Yes;exterior
Sant Andreu;la Sagrera;good condition;Flat;3;104;ground floor;523000;Yes;exterior
Sant Andreu;la Sagrera;good condition;Flat;3;62; floor 4;188000;Yes;exterior
Sant Martí;el Clot;good condition;Flat;3;77; floor 2;325000;Yes;exterior
Sarrià-Sant Gervasi;les Tres Torres;good condition;Flat;1;120;ground floor;380000;No;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;4;600; floor 9;12000000;Yes;exterior
Nou Barris;Vilapicina i la Torre Llobeta;good condition;Flat;2;49; floor 8;167000;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;good condition;Flat;2;63;ground floor;195000;No;exterior
Les Corts;la Maternitat i Sant Ramon;good condition;Penthouse;2;95; floor 8;480000;Yes;exterior
Sants-Montjuïc;Sants - Badal;good condition;Flat;3;75; floor 1;250000;No;exterior
Sants-Montjuïc;Hostafrancs;good condition;Flat;3;76; floor 3;269000;Yes;exterior
Sant Martí;Provençals del Poblenou;good condition;Flat;4;75; floor 4;195000;Yes;exterior
Sant Martí;el Poblenou;good condition;Flat;3;73; floor 2;399000;Yes;exterior
Sants-Montjuïc;el Poble Sec - AEI Parc de Montjuïc;good condition;Penthouse;2;60; floor 5;260000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;3;133; floor 5;850000;Yes;exterior
Gràcia;la Vila de Gràcia;good condition;Flat;3;79; floor 1;445000;Yes;exterior
Ciutat Vella;el Raval;good condition;Flat;1;40; floor 2;170000;No;exterior
Ciutat Vella;el Raval;good condition;Flat;2;59;mezzanine;230000;No;exterior
Les Corts;la Maternitat i Sant Ramon;good condition;House;5;234;Multiple;840000;No;exterior
Ciutat Vella;el Raval;good condition;Flat;2;61; floor 3;227000;No;exterior
Ciutat Vella;el Raval;good condition;Flat;1;49;mezzanine;180000;No;exterior
Sant Martí;Provençals del Poblenou;good condition;Flat;3;93; floor 3;375000;Yes;exterior
Sant Martí;Sant Martí de Provençals;good condition;Flat;3;90; floor 6;285000;Yes;exterior
Eixample;Sant Antoni;good condition;Flat;4;109; floor 1;460000;Yes;exterior
Sants-Montjuïc;la Bordeta;good condition;Flat;3;60; floor 3;220000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Duplex;2;156; floor 4;1900000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;2;149; floor 1;1200000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;2;149;mezzanine;1325000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;3;113;mezzanine;415000;Yes;exterior
Gràcia;la Vila de Gràcia;good condition;Flat;4;93;mezzanine;350000;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;good condition;Flat;5;97; floor 3;440000;Yes;exterior
Sant Martí;el Parc i la Llacuna del Poblenou;good condition;Flat;3;85; floor 2;290000;No;exterior
Horta-Guinardó;el Baix Guinardó;good condition;Flat;6;132; floor 3;389000;Yes;exterior
Sant Andreu;el Congrés i els Indians;good condition;Flat;4;101; floor 4;298000;Yes;exterior
Sants-Montjuïc;Hostafrancs;good condition;Flat;2;63; floor 1;310000;Yes;interior
Sants-Montjuïc;Sants;good condition;Flat;3;91;mezzanine;430000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;2;75;mezzanine;363400;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;3;88;mezzanine;445500;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;good condition;Flat;2;80; floor 2;319000;Yes;exterior
Sants-Montjuïc;el Poble Sec - AEI Parc de Montjuïc;good condition;Flat;3;91; floor 4;340000;Yes;exterior
Sant Martí;el Poblenou;good condition;Flat;2;75; floor 5;395000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;3;109; floor 2;445000;Yes;exterior
Nou Barris;Ciutat Meridiana;good condition;Flat;3;65; floor 3;135000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;5;220; floor 5;1100000;Yes;exterior
Ciutat Vella;el Raval;good condition;Flat;2;85; floor 5;234000;No;exterior
Sant Martí;el Clot;good condition;Flat;4;86; floor 5;339000;Yes;exterior
Eixample;Sant Antoni;good condition;Flat;3;87; floor 1;365000;Yes;exterior
Ciutat Vella;el Raval;good condition;Flat;4;84; floor 2;297069;Yes;exterior
Eixample;la Sagrada Família;good condition;Flat;3;88; floor 5;399000;Yes;exterior
Sants-Montjuïc;el Poble Sec - AEI Parc de Montjuïc;good condition;Flat;3;99; floor 2;299800;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Duplex;4;274; floor 5;839000;Yes;exterior
Gràcia;la Vila de Gràcia;good condition;Flat;3;137; floor 3;575000;Yes;exterior
Les Corts;Pedralbes;good condition;Flat;2;95; floor 1;479000;Yes;exterior
Ciutat Vella;la Barceloneta;good condition;Flat;1;34;ground floor;165000;No;exterior
Sant Martí;el Poblenou;good condition;Flat;2;70; floor 1;420000;Yes;exterior
Sants-Montjuïc;la Font de la Guatlla;good condition;Flat;4;86; floor 6;335000;Yes;exterior
Sants-Montjuïc;la Marina de Port;good condition;Flat;3;79; floor 2;253000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;2;63; floor 3;350000;No;exterior
Gràcia;la Vila de Gràcia;good condition;Flat;2;70; floor 1;319000;Yes;exterior
Sant Martí;Diagonal Mar i el Front Marítim del Poblenou;good condition;Flat;3;74; floor 3;260000;Yes;exterior
Horta-Guinardó;la Teixonera;good condition;Flat;3;58; floor 1;196000;Yes;exterior
Gràcia;el Camp d'en Grassot i Gràcia Nova;good condition;Flat;2;64; floor 1;275000;Yes;exterior
Gràcia;la Vila de Gràcia;good condition;Flat;1;56; floor 3;320000;No;exterior
Ciutat Vella;el Raval;good condition;Flat;3;71; floor 2;195000;No;exterior
Sant Martí;el Parc i la Llacuna del Poblenou;good condition;Flat;3;67; floor 2;289000;No;exterior
Eixample;la Sagrada Família;good condition;Flat;4;122; floor 2;415000;Yes;exterior
Sant Martí;Diagonal Mar i el Front Marítim del Poblenou;good condition;Flat;3;91; floor 4;290000;Yes;exterior
Les Corts;les Corts;good condition;Flat;5;210; floor 1;1030000;Yes;exterior
Sants-Montjuïc;la Font de la Guatlla;good condition;Flat;3;62; floor 2;250000;Yes;exterior
Eixample;Sant Antoni;good condition;Flat;1;42; floor 2;228000;Yes;exterior
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;good condition;Flat;3;117;mezzanine;840000;Yes;exterior
Ciutat Vella;el Raval;good condition;Flat;2;76; floor 2;465000;Yes;exterior
Ciutat Vella;el Raval;good condition;Flat;2;151;ground floor;565000;Yes;exterior
Ciutat Vella;el Raval;good condition;Flat;2;84; floor 2;475000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;2;68; floor 5;470000;Yes;exterior
Eixample;la Sagrada Família;good condition;Flat;3;62; floor 6;385000;Yes;exterior
Ciutat Vella;el Raval;good condition;Flat;2;75; floor 1;319000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;good condition;Flat;3;80; floor 5;415000;Yes;interior
Eixample;la Dreta de l'Eixample;good condition;Flat;4;230;mezzanine;2300000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;2;117; floor 2;595000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;3;177; floor 1;890000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;7;391; floor 4;1690000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;2;75; floor 3;298000;No;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;4;135;mezzanine;795000;Yes;exterior
Gràcia;el Camp d'en Grassot i Gràcia Nova;good condition;Flat;4;136; floor 2;475000;Yes;exterior
Sant Martí;Diagonal Mar i el Front Marítim del Poblenou;good condition;Flat;3;141; floor 1;830000;Yes;exterior
Sant Martí;el Camp de l'Arpa del Clot;good condition;Flat;3;75; floor 1;230000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;3;132; floor 5;1180000;Yes;interior
Eixample;la Dreta de l'Eixample;good condition;Flat;1;86; floor 5;870000;Yes;exterior
Gràcia;la Vila de Gràcia;good condition;Flat;1;51; floor 1;350000;No;exterior
Sant Martí;el Poblenou;good condition;Flat;1;41; floor 2;177000;No;exterior
Ciutat Vella;el Barri Gòtic;good condition;Flat;2;299; floor 7;3500000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;3;139; floor 4;1570000;Yes;exterior
Horta-Guinardó;el Baix Guinardó;good condition;Flat;3;54; floor 1;250000;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;good condition;Flat;3;85; floor 6;380000;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;good condition;Flat;4;140; floor 4;530000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;4;129; floor 2;685000;Yes;exterior
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;good condition;Flat;1;111; floor 1;550000;No;exterior
Nou Barris;la Prosperitat;good condition;Penthouse;3;66; floor 5;295000;Yes;exterior
Sarrià-Sant Gervasi;el Putxet i el Farró;good condition;Flat;1;73;mezzanine;310000;Yes;exterior
Sant Martí;Sant Martí de Provençals;good condition;Flat;2;83; floor 8;235000;Yes;exterior
Sants-Montjuïc;el Poble Sec - AEI Parc de Montjuïc;good condition;Flat;3;68; floor 3;152000;No;exterior
Sant Martí;la Verneda i la Pau;good condition;Flat;3;76; floor 5;169000;Yes;exterior
Gràcia;la Vila de Gràcia;good condition;Flat;2;68; floor 2;245000;Yes;exterior
Sants-Montjuïc;Sants;good condition;Flat;4;126; floor 1;359000;Yes;exterior
Ciutat Vella;el Raval;good condition;Flat;2;75; floor 1;280000;Yes;exterior
Sarrià-Sant Gervasi;Sarrià;good condition;Flat;2;86; floor 2;400000;Yes;exterior
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;good condition;Flat;2;64; floor 2;200000;Yes;exterior
Nou Barris;Porta;good condition;Penthouse;3;68; floor 6;200000;Yes;exterior
Sants-Montjuïc;la Marina de Port;good condition;Flat;4;110; floor 10;360000;Yes;exterior
Nou Barris;Porta;good condition;Flat;2;55; floor 2;170000;Yes;exterior
Les Corts;les Corts;good condition;Flat;4;144; floor 2;670000;Yes;exterior
Sant Martí;el Clot;good condition;Flat;2;84; floor 6;425000;Yes;exterior
Nou Barris;Porta;good condition;Duplex;2;125;ground floor;449000;Yes;exterior
Sant Martí;el Clot;good condition;Duplex;3;179;ground floor;538000;Yes;exterior
Sarrià-Sant Gervasi;les Tres Torres;good condition;Flat;5;131; floor 2;650000;Yes;exterior
Nou Barris;Verdun;good condition;Penthouse;3;68; floor 4;141000;No;interior
Sant Martí;la Verneda i la Pau;good condition;Flat;3;77; floor 3;169000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;2;96; floor 1;439000;Yes;exterior
Sant Andreu;Sant Andreu;good condition;Flat;3;76; floor 2;218000;Yes;exterior
Sant Andreu;el Congrés i els Indians;good condition;Flat;4;89; floor 4;264000;Yes;exterior
Sant Martí;Diagonal Mar i el Front Marítim del Poblenou;good condition;Flat;3;117; floor 8;568000;Yes;exterior
Sant Andreu;el Bon Pastor;good condition;Flat;3;68; floor 4;139000;No;exterior
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;good condition;Flat;5;300;ground floor;3500000;Yes;exterior
Sant Andreu;el Congrés i els Indians;good condition;Flat;2;79; floor 1;239000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;2;90; floor 4;800000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;3;203; floor 4;1790000;Yes;exterior
Nou Barris;la Guineueta;good condition;Flat;4;94; floor 2;305000;Yes;exterior
Sants-Montjuïc;Sants;good condition;Duplex;2;95; floor 1;367000;No;exterior
Les Corts;la Maternitat i Sant Ramon;good condition;Flat;3;94; floor 1;425000;Yes;exterior
Ciutat Vella;el Barri Gòtic;good condition;Flat;4;158; floor 2;540000;No;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Penthouse;4;353; floor 7;3100000;Yes;exterior
Les Corts;les Corts;good condition;Flat;4;121; floor 3;595000;Yes;exterior
Eixample;la Sagrada Família;good condition;Flat;4;73; floor 1;267000;Yes;exterior
Sarrià-Sant Gervasi;Vallvidrera - el Tibidabo i les Planes;good condition;Flat;3;116;ground floor;395000;No;exterior
Les Corts;Pedralbes;good condition;Detached;6;800;Multiple;6500000;No;exterior
Ciutat Vella;el Barri Gòtic;good condition;Flat;2;66; floor 1;425000;Yes;exterior
Sants-Montjuïc;Hostafrancs;good condition;Penthouse;2;70; floor 2;460000;No;exterior
Eixample;la Sagrada Família;good condition;Flat;2;62; floor 4;500000;Yes;exterior
Sants-Montjuïc;Hostafrancs;good condition;Flat;2;70; floor 1;445000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;3;94; floor 6;500000;Yes;exterior
Ciutat Vella;el Raval;good condition;Flat;1;49; floor 5;197500;No;exterior
Eixample;la Nova Esquerra de l'Eixample;good condition;Flat;1;65; floor 2;340000;Yes;exterior
Sant Martí;la Vila Olímpica del Poblenou;good condition;Flat;2;110; floor 4;644000;Yes;exterior
Les Corts;Pedralbes;good condition;Penthouse;5;147; floor 8;695000;Yes;exterior
Gràcia;el Coll;good condition;Penthouse;2;89; floor 4;470000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;good condition;Flat;3;177; floor 1;1000000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;4;142; floor 3;595000;Yes;exterior
Horta-Guinardó;Horta;good condition;Flat;3;70; floor 3;209000;No;interior
Eixample;la Dreta de l'Eixample;good condition;Flat;4;201; floor 4;1360000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;2;89; floor 4;400000;Yes;exterior
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;good condition;Flat;2;117; floor 2;470000;No;exterior
Ciutat Vella;el Barri Gòtic;good condition;Flat;2;90; floor 3;445000;Yes;exterior
Eixample;la Sagrada Família;good condition;Flat;4;90; floor 6;375000;Yes;exterior
Eixample;Sant Antoni;good condition;Flat;2;120; floor 3;795000;Yes;exterior
Sants-Montjuïc;el Poble Sec - AEI Parc de Montjuïc;good condition;Flat;3;129;ground floor;446000;Yes;interior
Eixample;la Sagrada Família;good condition;Flat;4;70; floor 6;255000;Yes;exterior
