district;neighborhood;rooms;area_m2;lift;prices;compra;eurometro
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;4;145;1;850000;0;5862
Eixample;l'Antiga Esquerra de l'Eixample;3;110;1;645000;0;5863
Sant Martí;el Camp de l'Arpa del Clot;2;52;1;305000;0;5865
Sant Martí;el Camp de l'Arpa del Clot;2;52;1;305000;0;5865
Gràcia;el Camp d'en Grassot i Gràcia Nova;2;75;1;440000;0;5866
Sarrià-Sant Gervasi;Sarrià;4;196;1;1150000;0;5867
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;5;298;1;1750000;0;5872
Eixample;la Nova Esquerra de l'Eixample;2;129;1;758000;0;5875
Les Corts;Pedralbes;3;74;1;435000;0;5878
Les Corts;Pedralbes;3;74;1;435000;0;5878
